stimStart,ButtonPressed,Value,TargetTime
11.997739418999117,13.550553324999782,1.0,
15.99861269900066,17.440097767001134,1.0,
19.998356940999656,21.332199682001374,1.0,
23.99789400699956,24.908093263999035,0.0,
27.997461407001538,30.051274298999488,0.0,
31.998288718998083,34.08709146600086,0.0,
35.9967549139983,37.41628941399904,1.0,
39.99727668199921,41.7905235549988,0.0,
47.99743742099963,49.91154910199839,0.0,
51.99641514099858,53.72692779600038,0.0,
55.99562537699967,56.72425520899924,1.0,
59.996464167998056,61.57522160000008,1.0,
63.99578028600081,65.75389855400135,1.0,
67.99603144999855,69.80885289000071,0.0,
71.99476107499868,73.72247230599896,0.0,
79.99495929199838,81.67224787799933,1.0,
83.99422880700149,85.74137123100081,1.0,
87.99460704599915,89.68775682699925,1.0,
91.99474907699914,93.70258306100004,1.0,
95.99434424699939,96.78214961000049,0.0,
99.99358167899845,101.87938748799934,0.0,
103.99426742099968,105.86338036899906,0.0,
111.99316992400054,114.39769850800076,1.0,
115.99336170699826,117.7025419849997,0.0,
119.99289238599886,121.77567458300109,0.0,
123.99247925300006,125.47667574799925,1.0,
127.99211687299976,128.67278010399968,1.0,
131.99094916100148,133.72403241700158,1.0,
135.99046941399865,137.61184178199983,0.0,
139.99043350799911,141.9492031410009,0.0,
143.9908361710004,145.75921193500108,0.0,
147.99058270000023,149.87751140099863,1.0,
151.99074112000017,154.20794631399986,0.0,
155.99063159599973,157.63162716700026,1.0,
163.9906505250001,165.9262480159996,1.0,
167.9911876340011,169.6892577510007,1.0,
171.9910132900004,173.75184676299978,0.0,
175.99094993100152,177.94359287599946,0.0,
179.99024131999977,181.94144269900062,1.0,
183.9896603060006,186.32732198599842,0.0,
187.98933090599894,190.09620058699875,0.0,
195.98987764100093,197.75860373999967,1.0,
199.98882183399837,201.67755010800101,1.0,
203.98845876400082,205.77227711199885,1.0,
207.9883230000014,208.74929999300002,0.0,
211.98869155300054,213.4431793190015,0.0,
215.98862806599936,217.3172247529983,1.0,
219.98828172199865,221.87970291799866,0.0,
16.0149489989999,23.04830233300163,0.0,19.876323364998825
16.0149489989999,23.04830233300163,0.0,19.876323364998825
23.999314797998522,31.20422957199844,0.0,
23.999314797998522,31.20422957199844,0.0,
32.000093760998425,39.12030634099938,1.0,
32.000093760998425,39.12030634099938,1.0,
39.9996875120014,47.23833766199823,0.0,
39.9996875120014,47.23833766199823,0.0,
48.00084803199934,55.388958080999146,0.0,
48.00084803199934,55.388958080999146,0.0,
56.00014216400086,63.602616962001775,1.0,61.124324157000956
56.00014216400086,63.602616962001775,1.0,61.124324157000956
64.00032522300171,71.46847718600111,0.0,
64.00032522300171,71.46847718600111,0.0,
79.99923970899908,87.62889088099837,0.0,84.1235996180003
79.99923970899908,87.62889088099837,0.0,84.1235996180003
87.99832727800094,95.61388308800088,1.0,92.49777727000037
87.99832727800094,95.61388308800088,1.0,92.49777727000037
95.99870440800078,103.73519061700063,1.0,99.62217655299901
95.99870440800078,103.73519061700063,1.0,99.62217655299901
103.9976226530016,111.63154228699932,1.0,109.8719911549997
103.9976226530016,111.63154228699932,1.0,109.8719911549997
111.99783112699879,118.7539789170005,0.0,
111.99783112699879,118.7539789170005,0.0,
127.99632859999838,135.12651164400086,1.0,131.2454753009988
127.99632859999838,135.12651164400086,1.0,131.2454753009988
135.99504737299867,142.9990242370004,0.0,
135.99504737299867,142.9990242370004,0.0,
143.99538167900027,151.2992291390001,1.0,148.8693822109999
143.99538167900027,151.2992291390001,1.0,148.8693822109999
151.99501489199974,159.67498373700073,0.0,
151.99501489199974,159.67498373700073,0.0,
167.99385836700094,172.94641575599962,1.0,170.9943032359988
167.99385836700094,172.94641575599962,1.0,170.9943032359988
175.99393395999869,183.55806144500093,0.0,
175.99393395999869,183.55806144500093,0.0,
183.9931983589995,191.45798668099815,1.0,
183.9931983589995,191.45798668099815,1.0,
192.00323696600026,199.32942406800066,0.0,
192.00323696600026,199.32942406800066,0.0,
200.0018692550002,207.42802003500037,0.0,203.87116328100092
200.0018692550002,207.42802003500037,0.0,203.87116328100092
208.00233764299992,215.24159254500046,1.0,
208.00233764299992,215.24159254500046,1.0,
223.99920170800033,231.02575480700034,1.0,229.12183781899876
223.99920170800033,231.02575480700034,1.0,229.12183781899876
231.9992461490001,238.26874592400054,1.0,
231.9992461490001,238.26874592400054,1.0,
239.99901242800115,247.41286894899895,0.0,243.49912623899945
239.99901242800115,247.41286894899895,0.0,243.49912623899945
247.99888148099853,255.70895331700012,0.0,253.74787711500176
247.99888148099853,255.70895331700012,0.0,253.74787711500176
255.99777438800083,262.2729784660005,1.0,259.87207276499976
255.99777438800083,262.2729784660005,1.0,259.87207276499976
263.9974095200014,271.4062993939988,0.0,
263.9974095200014,271.4062993939988,0.0,
271.9977823340014,279.82622690399876,0.0,276.99759544799963
271.9977823340014,279.82622690399876,0.0,276.99759544799963
287.9971435810003,295.5445425629987,0.0,
287.9971435810003,295.5445425629987,0.0,
295.99657576000027,303.37464477899994,0.0,
295.99657576000027,303.37464477899994,0.0,
303.9957937750005,310.4794980029983,1.0,308.7452956169982
303.9957937750005,310.4794980029983,1.0,308.7452956169982
311.9959756009994,317.1316962079982,1.0,315.1205121509993
311.9959756009994,317.1316962079982,1.0,315.1205121509993
319.9949942329986,325.7665126259999,1.0,323.3704651900007
319.9949942329986,325.7665126259999,1.0,323.3704651900007
335.9945557409992,342.8603490079986,1.0,340.369013694999
335.9945557409992,342.8603490079986,1.0,340.369013694999
343.99433217000114,349.05695176899826,1.0,
343.99433217000114,349.05695176899826,1.0,
351.99210167899946,358.58152637799867,1.0,356.4921789459986
351.99210167899946,358.58152637799867,1.0,356.4921789459986
359.9934289990015,367.5066506949988,0.0,
359.9934289990015,367.5066506949988,0.0,
367.991998988,374.9682550360012,0.0,371.11738957800117
367.991998988,374.9682550360012,0.0,371.11738957800117
376.00140264700167,383.2713588330007,0.0,
376.00140264700167,383.2713588330007,0.0,
383.9920122330004,390.7815043699993,1.0,388.99154022899893
383.9920122330004,390.7815043699993,1.0,388.99154022899893
399.9914074539993,407.23734147399955,0.0,
399.9914074539993,407.23734147399955,0.0,
407.990834147,415.2749755859986,1.0,
407.990834147,415.2749755859986,1.0,
415.9907836329985,423.3557497010006,0.0,
415.9907836329985,423.3557497010006,0.0,
423.99076492899985,431.12474161999853,1.0,428.11546749400077
423.99076492899985,431.12474161999853,1.0,428.11546749400077
431.9899616670009,439.28289595800015,0.0,
431.9899616670009,439.28289595800015,0.0,
439.9901161050002,447.1576046730006,1.0,
439.9901161050002,447.1576046730006,1.0,
447.98959636200016,455.6810125839984,1.0,451.3645341279989
447.98959636200016,455.6810125839984,1.0,451.3645341279989
11.998026977998961,15.016832329998579,1.0,
15.999331757000618,18.22356260399829,1.0,
19.997461184000713,22.231533540998498,1.0,
23.99735061300089,26.04353455999808,1.0,
